70,Government agencies of China,Institutions,989
1,Local media,Media,634
21,Local media,Media,853
2,Central official media,Media,2201
100,Personal & business accounts,Personal & business accounts,1164
3,Central official media,Media,549
4,Unofficial media,Media,183
71,Government agencies of China,Institutions,115
5,Government agencies of China,Institutions,249
72,Personal & business accounts,Personal & business accounts,551
6,Personal & business accounts,Personal & business accounts,63
73,Central official media,Media,604
7,Local media,Media,119
74,Government agencies of China,Institutions,93
8,Unofficial media,Media,5414
75,Government agencies of China,Institutions,494
9,Government agencies of China,Institutions,54
76,Unofficial media,Media,13771
10,Personal & business accounts,Personal & business accounts,38
77,Government agencies of China,Institutions,140
11,Government agencies of China,Institutions,223
12,Local media,Media,6414
78,Unofficial media,Media,417
13,Unofficial media,Media,107
14,Government agencies of China,Institutions,49
15,Unofficial media,Media,512
20,Local media,Media,523
60,Local media,Media,1196
79,Personal & business accounts,Personal & business accounts,430
16,Unofficial media,Media,273
81,Government agencies of China,Institutions,69
17,Local media,Media,83
82,Personal & business accounts,Personal & business accounts,380
18,Personal & business accounts,Personal & business accounts,274
83,Unofficial media,Media,41
19,Personal & business accounts,Personal & business accounts,233
22,Personal & business accounts,Personal & business accounts,199
84,Personal & business accounts,Personal & business accounts,139
85,Unofficial media,Media,8667
23,Central official media,Media,1697
24,Personal & business accounts,Personal & business accounts,76
25,Personal & business accounts,Personal & business accounts,105
26,Central official media,Media,3816
86,Local media,Media,69
27,Local media,Media,121
87,Government agencies of China,Institutions,543
28,Personal & business accounts,Personal & business accounts,67
88,Personal & business accounts,Personal & business accounts,316
29,Personal & business accounts,Personal & business accounts,308
30,Personal & business accounts,Personal & business accounts,921
31,Personal & business accounts,Personal & business accounts,928
32,Personal & business accounts,Personal & business accounts,915
33,Personal & business accounts,Personal & business accounts,729
89,Local media,Media,6431
34,Central official media,Media,1993
35,Local media,Media,312
90,Unofficial media,Media,554
36,Local media,Media,307
37,Personal & business accounts,Personal & business accounts,70
38,Local media,Media,342
39,Local media,Media,67
40,Local media,Media,300
41,Personal & business accounts,Personal & business accounts,901
42,Local media,Media,253
43,Local media,Media,43
44,Local media,Media,41
45,Local media,Media,1466
46,Local media,Media,106
47,Local media,Media,103
48,Local media,Media,142
91,Local media,Media,152
49,Unofficial media,Media,66
50,Personal & business accounts,Personal & business accounts,307
51,Local media,Media,287
52,Local media,Media,251
53,Local media,Media,237
54,Local media,Media,158
92,Local media,Media,87
93,Local media,Media,438
94,Local media,Media,40
55,Local media,Media,4227
56,Local media,Media,445
57,Local media,Media,431
58,Local media,Media,642
59,Local media,Media,435
61,Central official media,Media,2248
95,Unofficial media,Media,10998
62,Local media,Media,45
80,Local media,Media,531
63,Personal & business accounts,Personal & business accounts,72
96,Central official media,Media,521
64,Unofficial media,Media,66
97,Central official media,Media,616
65,Central official media,Media,461
98,Personal & business accounts,Personal & business accounts,112
66,Personal & business accounts,Personal & business accounts,1117
67,Unofficial media,Media,1111
99,Central official media,Media,9362
68,Government agencies of China,Institutions,90
69,Central official media,Media,6339
