Id,Source,Target,Type,Weight
208,8,22,Undirected,10228
209,8,23,Undirected,3334
210,8,24,Undirected,276
211,8,28,Undirected,4671
212,8,29,Undirected,2268
213,8,39,Undirected,10615
214,8,46,Undirected,9084
215,8,54,Undirected,257
217,8,73,Undirected,4829
218,8,77,Undirected,3054
219,8,78,Undirected,6717
220,8,83,Undirected,2450
221,8,88,Undirected,4234
222,8,89,Undirected,6137
223,8,97,Undirected,2091
224,8,98,Undirected,6237
225,8,99,Undirected,356
226,8,100,Undirected,2827
227,8,101,Undirected,11735
228,8,105,Undirected,2243
229,8,111,Undirected,4902
230,8,112,Undirected,8387
231,8,116,Undirected,1012
232,8,119,Undirected,3560
235,9,14,Undirected,365
236,9,17,Undirected,12336
237,9,20,Undirected,9424
238,9,22,Undirected,2150
239,9,23,Undirected,7145
240,9,28,Undirected,10988
241,9,29,Undirected,4449
242,9,39,Undirected,11246
243,9,46,Undirected,12678
244,9,67,Undirected,219
246,9,70,Undirected,6727
247,9,73,Undirected,9854
248,9,77,Undirected,2248
249,9,83,Undirected,4674
250,9,88,Undirected,2019
251,9,97,Undirected,2647
252,9,100,Undirected,1624
253,9,101,Undirected,11133
254,9,102,Undirected,6482
255,9,105,Undirected,3915
256,9,106,Undirected,6867
257,9,111,Undirected,3843
258,9,112,Undirected,8907
259,9,116,Undirected,4701
260,9,119,Undirected,1747
261,9,120,Undirected,11122
262,10,3,Undirected,729
263,10,11,Undirected,567
264,10,14,Undirected,215
265,10,22,Undirected,707
266,10,24,Undirected,1027
267,10,30,Undirected,235
268,10,37,Undirected,319
269,10,38,Undirected,329
270,10,40,Undirected,2258
271,10,41,Undirected,594
272,10,43,Undirected,1584
273,10,44,Undirected,8464
274,10,45,Undirected,10864
275,10,51,Undirected,2362
276,10,53,Undirected,4157
277,10,57,Undirected,310
278,10,61,Undirected,11543
279,10,65,Undirected,163
280,10,68,Undirected,500
282,10,71,Undirected,3962
283,10,84,Undirected,714
284,10,87,Undirected,1549
285,10,96,Undirected,587
286,10,99,Undirected,210
287,10,103,Undirected,4763
288,10,104,Undirected,6252
289,10,105,Undirected,185
290,10,113,Undirected,732
291,10,114,Undirected,747
292,10,117,Undirected,4923
293,10,119,Undirected,169
294,10,122,Undirected,2140
295,10,123,Undirected,8459
296,10,126,Undirected,672
297,10,127,Undirected,499
298,10,130,Undirected,3473
299,10,132,Undirected,4815
300,10,135,Undirected,159
301,11,40,Undirected,4821
302,11,43,Undirected,8072
303,11,44,Undirected,12986
304,11,45,Undirected,2678
305,11,51,Undirected,8825
306,11,53,Undirected,2707
307,11,61,Undirected,16201
308,11,71,Undirected,4765
309,11,87,Undirected,2114
310,11,96,Undirected,3861
311,11,103,Undirected,4041
312,11,117,Undirected,4820
313,11,122,Undirected,4137
314,11,123,Undirected,3913
315,11,130,Undirected,1125
316,11,132,Undirected,3135
318,12,2,Undirected,222
319,12,16,Undirected,8765
320,12,21,Undirected,4907
321,12,25,Undirected,4661
322,12,30,Undirected,8523
323,12,32,Undirected,810
324,12,33,Undirected,1551
325,12,37,Undirected,8285
326,12,52,Undirected,1053
327,12,57,Undirected,8011
328,12,66,Undirected,6847
329,12,72,Undirected,4137
330,12,74,Undirected,4913
331,12,85,Undirected,1857
332,12,91,Undirected,228
333,12,93,Undirected,4529
334,12,105,Undirected,240
335,12,108,Undirected,4739
336,12,109,Undirected,7527
337,12,112,Undirected,3528
338,12,113,Undirected,3485
339,12,125,Undirected,710
340,12,126,Undirected,1817
341,12,129,Undirected,4449
342,12,134,Undirected,180
343,13,16,Undirected,157
344,13,24,Undirected,15215
345,13,47,Undirected,4389
346,13,49,Undirected,1204
347,13,54,Undirected,10674
348,13,55,Undirected,636
349,13,56,Undirected,1902
350,13,60,Undirected,10861
351,13,64,Undirected,9394
352,13,65,Undirected,10483
353,13,68,Undirected,757
354,13,78,Undirected,2861
