78,Personal & business accounts,Personal & business accounts,61
93,Personal & business accounts,Personal & business accounts,59
9,Personal & business accounts,Personal & business accounts,39
70,Personal & business accounts,Personal & business accounts,238
86,Universities,Institutions,70
38,Personal & business accounts,Personal & business accounts,267
54,Personal & business accounts,Personal & business accounts,39
75,Personal & business accounts,Personal & business accounts,427
3,Personal & business accounts,Personal & business accounts,43
28,Personal & business accounts,Personal & business accounts,133
15,Personal & business accounts,Personal & business accounts,162
34,Universities,Institutions,58
51,Personal & business accounts,Personal & business accounts,917
92,Personal & business accounts,Personal & business accounts,734
19,Personal & business accounts,Personal & business accounts,38
41,Universities,Institutions,634
60,Personal & business accounts,Personal & business accounts,40
5,Local media,Media,164
65,Government agencies of China,Institutions,40
45,Personal & business accounts,Personal & business accounts,107
57,Personal & business accounts,Personal & business accounts,73
18,Local media,Media,2461
39,Universities,Institutions,43
90,Local media,Media,1701
87,Universities,Institutions,693
32,Universities,Institutions,863
12,Universities,Institutions,3941
59,Universities,Institutions,41
46,Universities,Institutions,50
42,Personal & business accounts,Personal & business accounts,431
66,Local media,Media,891
85,Unofficial media,Media,86
89,Government agencies of China,Institutions,1973
26,Universities,Institutions,93
27,Universities,Institutions,5342
64,Personal & business accounts,Personal & business accounts,89
100,International institutions,Institutions,19964
49,Government agencies of China,Institutions,1607
48,Government agencies of China,Institutions,104
50,Government agencies of China,Institutions,115
36,Government agencies of China,Institutions,58
79,Personal & business accounts,Personal & business accounts,242
76,Personal & business accounts,Personal & business accounts,669
10,Personal & business accounts,Personal & business accounts,42
81,Unofficial media,Media,79
99,International institutions,Institutions,21634
69,Personal & business accounts,Personal & business accounts,10071
21,Government agencies of China,Institutions,50
52,Government agencies of China,Institutions,42
40,Local media,Media,731
73,Central official media,Media,21123
14,Central official media,Media,2230
61,Central official media,Media,357
20,Local media,Media,1229
30,Universities,Institutions,1164
35,Government agencies of China,Institutions,3315
24,Universities,Institutions,177
62,Government agencies of China,Institutions,6845
58,Government agencies of China,Institutions,46
13,Personal & business accounts,Personal & business accounts,39
33,Unofficial media,Media,116
53,Personal & business accounts,Personal & business accounts,81
25,Personal & business accounts,Personal & business accounts,549
74,Personal & business accounts,Personal & business accounts,118
95,Unofficial media,Media,46
37,Personal & business accounts,Personal & business accounts,38
101,Universities,Institutions,241
68,Unofficial media,Media,208
72,Personal & business accounts,Personal & business accounts,8597
63,Local media,Media,38
23,Universities,Institutions,9160
47,Universities,Institutions,46
44,Universities,Institutions,934
31,Local media,Media,167
29,Personal & business accounts,Personal & business accounts,124
6,Personal & business accounts,Personal & business accounts,136
94,Local media,Media,11637
67,Unofficial media,Media,47
17,Local media,Media,2481
88,Unofficial media,Media,112
16,Local media,Media,2622
82,Local media,Media,52
8,Central official media,Media,478
84,Central official media,Media,12086
83,Local media,Media,861
2,Personal & business accounts,Personal & business accounts,92
91,Personal & business accounts,Personal & business accounts,61
7,Personal & business accounts,Personal & business accounts,108
96,Personal & business accounts,Personal & business accounts,15234
56,Universities,Institutions,253
1,Universities,Institutions,83
22,Universities,Institutions,606
11,Personal & business accounts,Personal & business accounts,92
98,Government agencies of China,Institutions,60
55,Personal & business accounts,Personal & business accounts,39
4,Universities,Institutions,4244
77,Personal & business accounts,Personal & business accounts,114
80,Personal & business accounts,Personal & business accounts,1726
97,Personal & business accounts,Personal & business accounts,459
71,Personal & business accounts,Personal & business accounts,5240
43,Central official media,Media,476
